text
"On 2015-07-05, the mains power consumption was 141.65084668803422 units, television used 15.899276215277776 units, fan used 12.665533969907408 units, fridge used 49.356105284010056 units, and laptop computer used 17.626762030228758 units. Environmental conditions were: temperature 19.716666666666665°C, dew point 15.2125°C, relative humidity 76.33333333333333%, wind speed 14.25 km/h, and pressure 1016.9458333333332 hPa. Day: Sunday (July), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-07-17, the mains power consumption was 109.78311226851852 units, television used 8.72455167824074 units, fan used 0.0 units, fridge used 44.44337546296296 units, and laptop computer used 10.919208912037035 units. Environmental conditions were: temperature 21.204166666666666°C, dew point 15.9375°C, relative humidity 72.29166666666667%, wind speed 29.85 km/h, and pressure 1011.5666666666668 hPa. Day: Friday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-18, the mains power consumption was 137.08425 units, television used 8.399983912037037 units, fan used 0.0 units, fridge used 45.373982407407375 units, and laptop computer used 14.26182175925926 units. Environmental conditions were: temperature 17.891666666666666°C, dew point 10.495833333333334°C, relative humidity 63.958333333333336%, wind speed 16.65 km/h, and pressure 1016.2541666666668 hPa. Day: Saturday (July), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-07-19, the mains power consumption was 122.86358217592596 units, television used 7.35377372685185 units, fan used 5.127201736111109 units, fridge used 41.29314484953706 units, and laptop computer used 13.579371701388888 units. Environmental conditions were: temperature 16.2875°C, dew point 12.408333333333331°C, relative humidity 78.95833333333333%, wind speed 16.95 km/h, and pressure 1010.9 hPa. Day: Sunday (July), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-07-20, the mains power consumption was 135.51362731481484 units, television used 6.414872569444444 units, fan used 0.0 units, fridge used 44.749817129629605 units, and laptop computer used 10.257142766203703 units. Environmental conditions were: temperature 17.529166666666665°C, dew point 14.9375°C, relative humidity 85.25%, wind speed 14.55 km/h, and pressure 1011.7791666666668 hPa. Day: Monday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-21, the mains power consumption was 145.7790277777778 units, television used 9.839382060185184 units, fan used 0.0 units, fridge used 45.46692181712967 units, and laptop computer used 12.4135546875 units. Environmental conditions were: temperature 20.079166666666666°C, dew point 13.983333333333333°C, relative humidity 69.58333333333333%, wind speed 23.25 km/h, and pressure 1012.4708333333332 hPa. Day: Tuesday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-22, the mains power consumption was 145.42262152777772 units, television used 11.604325810185186 units, fan used 3.9480795138888887 units, fridge used 44.45509212962963 units, and laptop computer used 14.812966840277776 units. Environmental conditions were: temperature 18.98333333333333°C, dew point 13.291666666666666°C, relative humidity 71.20833333333333%, wind speed 18.9 km/h, and pressure 1014.1708333333332 hPa. Day: Wednesday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-23, the mains power consumption was 113.09876736111111 units, television used 7.990259432870372 units, fan used 3.748859490740741 units, fridge used 45.12537783564813 units, and laptop computer used 12.817095081018518 units. Environmental conditions were: temperature 17.5375°C, dew point 10.708333333333334°C, relative humidity 65.625%, wind speed 13.2 km/h, and pressure 1016.75 hPa. Day: Thursday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-24, the mains power consumption was 103.54391087962968 units, television used 7.239089409722222 units, fan used 3.6546463541666654 units, fridge used 39.50721435185186 units, and laptop computer used 9.75506984953704 units. Environmental conditions were: temperature 18.73333333333333°C, dew point 12.45°C, relative humidity 68.375%, wind speed 9.15 km/h, and pressure 1010.125 hPa. Day: Friday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-25, the mains power consumption was 153.9982175925926 units, television used 13.945240104166666 units, fan used 0.0 units, fridge used 37.54138466435186 units, and laptop computer used 21.97436579861112 units. Environmental conditions were: temperature 15.2375°C, dew point 13.125°C, relative humidity 87.45833333333333%, wind speed 31.8 km/h, and pressure 1003.2041666666668 hPa. Day: Saturday (July), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-07-26, the mains power consumption was 150.15475115740736 units, television used 15.769286863425926 units, fan used 0.0 units, fridge used 36.20485630787034 units, and laptop computer used 16.101615162037035 units. Environmental conditions were: temperature 14.704166666666667°C, dew point 11.120833333333334°C, relative humidity 80.79166666666667%, wind speed 18.6 km/h, and pressure 1009.2958333333332 hPa. Day: Sunday (July), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-07-27, the mains power consumption was 149.36628009259252 units, television used 9.815341087962963 units, fan used 0.0 units, fridge used 36.4706581018518 units, and laptop computer used 16.91330734953704 units. Environmental conditions were: temperature 16.8625°C, dew point 14.420833333333333°C, relative humidity 85.91666666666667%, wind speed 32.85 km/h, and pressure 998.3208333333332 hPa. Day: Monday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-28, the mains power consumption was 138.49368287037032 units, television used 6.7146871527777785 units, fan used 0.0 units, fridge used 34.79736944444442 units, and laptop computer used 14.444023900462962 units. Environmental conditions were: temperature 15.854166666666666°C, dew point 12.475°C, relative humidity 80.95833333333333%, wind speed 28.05 km/h, and pressure 1003.325 hPa. Day: Tuesday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-29, the mains power consumption was 124.49059953703704 units, television used 7.350319733796296 units, fan used 0.1812111111111107 units, fridge used 35.17168524305555 units, and laptop computer used 15.730607217261907 units. Environmental conditions were: temperature 14.5°C, dew point 10.066666666666666°C, relative humidity 75.41666666666667%, wind speed 29.1 km/h, and pressure 1007.7708333333334 hPa. Day: Wednesday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-30, the mains power consumption was 153.15873842592595 units, television used 9.069283152548213 units, fan used 0.0 units, fridge used 36.38739930555554 units, and laptop computer used 17.04324666005291 units. Environmental conditions were: temperature 13.979166666666666°C, dew point 9.145833333333334°C, relative humidity 73.41666666666667%, wind speed 18.3 km/h, and pressure 1015.8916666666668 hPa. Day: Thursday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-31, the mains power consumption was 138.30393171296294 units, television used 0.0718759330999363 units, fan used 0.0 units, fridge used 36.836760308159725 units, and laptop computer used 5.9398030671296285 units. Environmental conditions were: temperature 13.833333333333334°C, dew point 7.2375°C, relative humidity 66.125%, wind speed 9.3 km/h, and pressure 1019.4958333333332 hPa. Day: Friday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-01, the mains power consumption was 124.41815162037037 units, television used 4.02528732638889 units, fan used 0.0 units, fridge used 36.72535392795135 units, and laptop computer used 6.100196643518518 units. Environmental conditions were: temperature 15.7125°C, dew point 7.670833333333333°C, relative humidity 61.375%, wind speed 7.95 km/h, and pressure 1016.8416666666668 hPa. Day: Saturday (August), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-08-02, the mains power consumption was 134.35750578703704 units, television used 3.954669502314815 units, fan used 0.7271226851851852 units, fridge used 38.83195173611114 units, and laptop computer used 5.777734056712964 units. Environmental conditions were: temperature 18.0°C, dew point 11.229166666666666°C, relative humidity 66.79166666666667%, wind speed 11.491666666666667 km/h, and pressure 1018.9375 hPa. Day: Sunday (August), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-08-03, the mains power consumption was 129.44502893518515 units, television used 5.7715140625000005 units, fan used 7.053368981481482 units, fridge used 39.79881984953701 units, and laptop computer used 13.75367722800926 units. Environmental conditions were: temperature 20.7375°C, dew point 13.775°C, relative humidity 65.5%, wind speed 14.55 km/h, and pressure 1013.275 hPa. Day: Monday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-04, the mains power consumption was 147.21677662037035 units, television used 2.2951711226851863 units, fan used 7.403463599537038 units, fridge used 39.3616164930556 units, and laptop computer used 7.571028240740741 units. Environmental conditions were: temperature 18.025°C, dew point 13.966666666666669°C, relative humidity 78.54166666666667%, wind speed 19.05 km/h, and pressure 1013.4208333333332 hPa. Day: Tuesday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-05, the mains power consumption was 128.63081597222222 units, television used 10.830819791666668 units, fan used 2.625207754629629 units, fridge used 39.6338280092593 units, and laptop computer used 15.646404600694446 units. Environmental conditions were: temperature 18.92083333333333°C, dew point 11.808333333333334°C, relative humidity 64.875%, wind speed 14.85 km/h, and pressure 1015.6666666666666 hPa. Day: Wednesday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-06, the mains power consumption was 127.92447453703691 units, television used 8.151756018518519 units, fan used 7.732204224537037 units, fridge used 40.22999710648146 units, and laptop computer used 8.634304427083334 units. Environmental conditions were: temperature 20.025°C, dew point 14.529166666666669°C, relative humidity 71.70833333333333%, wind speed 14.85 km/h, and pressure 1013.8666666666668 hPa. Day: Thursday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-07, the mains power consumption was 107.61566666666664 units, television used 2.893472743055556 units, fan used 8.019680960648147 units, fridge used 41.8521677662037 units, and laptop computer used 10.63803978587963 units. Environmental conditions were: temperature 19.325°C, dew point 14.825°C, relative humidity 77.29166666666667%, wind speed 10.8 km/h, and pressure 1017.4916666666668 hPa. Day: Friday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-08, the mains power consumption was 122.80784837962965 units, television used 4.799136400462964 units, fan used 5.298378819444446 units, fridge used 39.327549189814775 units, and laptop computer used 12.139014728009258 units. Environmental conditions were: temperature 18.5125°C, dew point 12.716666666666669°C, relative humidity 70.875%, wind speed 13.35 km/h, and pressure 1022.8875 hPa. Day: Saturday (August), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-08-09, the mains power consumption was 120.99266550925928 units, television used 8.657800752314813 units, fan used 3.566486516203704 units, fridge used 40.50650352155432 units, and laptop computer used 16.99390905092593 units. Environmental conditions were: temperature 18.9°C, dew point 13.333333333333334°C, relative humidity 71.79166666666667%, wind speed 6.166666666666667 km/h, and pressure 1020.8666666666668 hPa. Day: Sunday (August), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-08-10, the mains power consumption was 104.42881250000002 units, television used 0.4646533564814811 units, fan used 0.0 units, fridge used 41.01192489279752 units, and laptop computer used 13.364577060185184 units. Environmental conditions were: temperature 19.591666666666665°C, dew point 15.529166666666669°C, relative humidity 77.66666666666667%, wind speed 10.2 km/h, and pressure 1017.5625 hPa. Day: Monday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-11, the mains power consumption was 125.46962857744109 units, television used 0.0 units, fan used 5.195457060185185 units, fridge used 39.75674542824071 units, and laptop computer used 13.451782986111112 units. Environmental conditions were: temperature 19.791666666666668°C, dew point 16.516666666666666°C, relative humidity 82.375%, wind speed 10.2 km/h, and pressure 1019.2 hPa. Day: Tuesday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-12, the mains power consumption was 150.70697220603475 units, television used 5.115136631944439 units, fan used 4.912302314814816 units, fridge used 35.98886603009262 units, and laptop computer used 16.907804282407408 units. Environmental conditions were: temperature 19.245833333333334°C, dew point 15.2625°C, relative humidity 78.375%, wind speed 18.45 km/h, and pressure 1022.775 hPa. Day: Wednesday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-13, the mains power consumption was 117.70373949430206 units, television used 0.0 units, fan used 8.113531886574075 units, fridge used 39.233687268518544 units, and laptop computer used 7.386897858796297 units. Environmental conditions were: temperature 21.466666666666665°C, dew point 17.304166666666667°C, relative humidity 78.125%, wind speed 19.35 km/h, and pressure 1015.6791666666668 hPa. Day: Thursday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-14, the mains power consumption was 139.59154682239057 units, television used 4.774127141203704 units, fan used 7.655681076388888 units, fridge used 41.225326099536986 units, and laptop computer used 6.059223553240742 units. Environmental conditions were: temperature 21.229166666666668°C, dew point 18.308333333333334°C, relative humidity 84.20833333333333%, wind speed 13.2 km/h, and pressure 1007.3541666666666 hPa. Day: Friday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-15, the mains power consumption was 142.96973905723914 units, television used 9.418804745370371 units, fan used 4.8269453125 units, fridge used 40.44684652777782 units, and laptop computer used 9.420195486111112 units. Environmental conditions were: temperature 18.05°C, dew point 15.933333333333334°C, relative humidity 87.58333333333333%, wind speed 14.55 km/h, and pressure 1009.2916666666666 hPa. Day: Saturday (August), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-08-16, the mains power consumption was 127.4191944444445 units, television used 5.620624016203704 units, fan used 4.809384085648148 units, fridge used 37.087912500000016 units, and laptop computer used 11.461035937500002 units. Environmental conditions were: temperature 15.845833333333331°C, dew point 12.016666666666667°C, relative humidity 78.75%, wind speed 15.45 km/h, and pressure 1015.6791666666668 hPa. Day: Sunday (August), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-08-17, the mains power consumption was 160.9109872685186 units, television used 16.05896724537037 units, fan used 0.0 units, fridge used 34.75605561342593 units, and laptop computer used 13.892956944444444 units. Environmental conditions were: temperature 14.429166666666667°C, dew point 13.783333333333331°C, relative humidity 95.91666666666669%, wind speed 16.8 km/h, and pressure 1013.4291666666668 hPa. Day: Monday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-18, the mains power consumption was 139.30996296296297 units, television used 9.169958969907409 units, fan used 0.0879450810185188 units, fridge used 34.77242916666668 units, and laptop computer used 10.381797164351852 units. Environmental conditions were: temperature 15.1375°C, dew point 13.466666666666669°C, relative humidity 90.16666666666669%, wind speed 21.6 km/h, and pressure 1012.7875 hPa. Day: Tuesday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-19, the mains power consumption was 62.34391203703704 units, television used 0.0 units, fan used 0.0 units, fridge used 20.881633101851868 units, and laptop computer used 0.2702221064814809 units. Environmental conditions were: temperature 17.029166666666665°C, dew point 13.245833333333334°C, relative humidity 79.45833333333333%, wind speed 12.3 km/h, and pressure 1019.2541666666668 hPa. Day: Wednesday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-20, the mains power consumption was 32.0 units, television used 0.0 units, fan used 0.0 units, fridge used 0.0 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 18.72083333333333°C, dew point 13.2125°C, relative humidity 72.375%, wind speed 12.3 km/h, and pressure 1022.2208333333332 hPa. Day: Thursday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-21, the mains power consumption was 32.0 units, television used 0.0 units, fan used 0.0 units, fridge used 0.0 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 20.2875°C, dew point 15.995833333333334°C, relative humidity 77.33333333333333%, wind speed 9.9 km/h, and pressure 1022.4333333333332 hPa. Day: Friday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-22, the mains power consumption was 32.0 units, television used 0.0 units, fan used 0.0 units, fridge used 0.0 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 21.3625°C, dew point 13.333333333333334°C, relative humidity 61.66666666666666%, wind speed 17.1 km/h, and pressure 1017.8708333333332 hPa. Day: Saturday (August), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-08-23, the mains power consumption was 108.51000000000008 units, television used 3.310152604166668 units, fan used 0.049078761574074 units, fridge used 19.128625983796297 units, and laptop computer used 5.97929230324074 units. Environmental conditions were: temperature 20.195833333333333°C, dew point 12.325°C, relative humidity 62.66666666666666%, wind speed 22.95 km/h, and pressure 1007.0166666666668 hPa. Day: Sunday (August), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-08-24, the mains power consumption was 195.4788483796296 units, television used 10.79467222222222 units, fan used 3.277684432870371 units, fridge used 37.84202731481482 units, and laptop computer used 19.605008506944444 units. Environmental conditions were: temperature 17.704166666666666°C, dew point 15.575°C, relative humidity 87.75%, wind speed 16.95 km/h, and pressure 1000.2375 hPa. Day: Monday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-25, the mains power consumption was 159.34116319444442 units, television used 12.522139814814816 units, fan used 10.714175983796297 units, fridge used 35.91623061342591 units, and laptop computer used 12.60501585648148 units. Environmental conditions were: temperature 16.770833333333332°C, dew point 12.8625°C, relative humidity 79.29166666666667%, wind speed 29.1 km/h, and pressure 1008.5791666666668 hPa. Day: Tuesday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-26, the mains power consumption was 83.41008564814813 units, television used 0.0 units, fan used 2.389437847222223 units, fridge used 33.357067418981536 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 19.566666666666663°C, dew point 16.35°C, relative humidity 82.54166666666667%, wind speed 26.7 km/h, and pressure 1008.55 hPa. Day: Wednesday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-27, the mains power consumption was 67.02619328703703 units, television used 0.0 units, fan used 0.0 units, fridge used 33.86490069444444 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 15.991666666666667°C, dew point 14.304166666666667°C, relative humidity 89.75%, wind speed 21.3 km/h, and pressure 1008.3458333333332 hPa. Day: Thursday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-28, the mains power consumption was 64.88063888888887 units, television used 0.0 units, fan used 0.0 units, fridge used 31.936212442129605 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 15.979166666666666°C, dew point 11.829166666666667°C, relative humidity 78.375%, wind speed 15.9 km/h, and pressure 1016.7666666666668 hPa. Day: Friday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-08-29, the mains power consumption was 67.5469479166668 units, television used 0.0 units, fan used 0.0 units, fridge used 34.40373564814815 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 17.225°C, dew point 11.45°C, relative humidity 71.41666666666667%, wind speed 10.05 km/h, and pressure 1021.2583333333332 hPa. Day: Saturday (August), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-08-30, the mains power consumption was 151.72598958333325 units, television used 17.7582380787037 units, fan used 2.13982818287037 units, fridge used 36.68890648148145 units, and laptop computer used 9.707039814814816 units. Environmental conditions were: temperature 19.591666666666665°C, dew point 15.8125°C, relative humidity 79.08333333333333%, wind speed 14.7 km/h, and pressure 1016.8541666666666 hPa. Day: Sunday (August), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-08-31, the mains power consumption was 156.22930555555556 units, television used 11.098893923611111 units, fan used 9.47966898148148 units, fridge used 37.19894976851856 units, and laptop computer used 4.746974652777778 units. Environmental conditions were: temperature 20.3375°C, dew point 18.716666666666665°C, relative humidity 90.91666666666669%, wind speed 13.65 km/h, and pressure 1010.1333333333332 hPa. Day: Monday (August), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-01, the mains power consumption was 122.68292245370372 units, television used 11.627775347222222 units, fan used 0.0437140046296289 units, fridge used 35.82249473379631 units, and laptop computer used 8.412537442129628 units. Environmental conditions were: temperature 15.895833333333334°C, dew point 12.475°C, relative humidity 80.66666666666667%, wind speed 19.2 km/h, and pressure 1013.8541666666666 hPa. Day: Tuesday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-02, the mains power consumption was 97.4955787037037 units, television used 1.8936905092592595 units, fan used 0.0 units, fridge used 34.005713599537046 units, and laptop computer used 6.473390914351858 units. Environmental conditions were: temperature 14.075°C, dew point 10.05°C, relative humidity 77.5%, wind speed 14.7 km/h, and pressure 1015.9875 hPa. Day: Wednesday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-03, the mains power consumption was 183.3538356481481 units, television used 17.832538368055555 units, fan used 0.047383912037037 units, fridge used 34.29668217592589 units, and laptop computer used 14.035861631944446 units. Environmental conditions were: temperature 12.8°C, dew point 10.033333333333331°C, relative humidity 83.95833333333333%, wind speed 14.820833333333333 km/h, and pressure 1013.5291666666668 hPa. Day: Thursday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-04, the mains power consumption was 159.85050925925927 units, television used 10.17165943287037 units, fan used 0.0 units, fridge used 33.33528153935182 units, and laptop computer used 12.64612453703704 units. Environmental conditions were: temperature 13.858333333333333°C, dew point 12.6125°C, relative humidity 92.20833333333331%, wind speed 23.25 km/h, and pressure 1011.7791666666668 hPa. Day: Friday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-05, the mains power consumption was 132.5489178240741 units, television used 3.284471990740741 units, fan used 0.0559953703703695 units, fridge used 32.19773842592591 units, and laptop computer used 9.220125113843348 units. Environmental conditions were: temperature 13.795833333333333°C, dew point 9.966666666666669°C, relative humidity 78.20833333333333%, wind speed 23.1 km/h, and pressure 1016.3625 hPa. Day: Saturday (September), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-09-06, the mains power consumption was 200.07041435185172 units, television used 16.460667766203706 units, fan used 0.1030572916666679 units, fridge used 32.75229859664353 units, and laptop computer used 15.223238775045536 units. Environmental conditions were: temperature 13.233333333333333°C, dew point 9.291666666666666°C, relative humidity 77.75%, wind speed 20.7 km/h, and pressure 1023.6375 hPa. Day: Sunday (September), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-09-07, the mains power consumption was 116.51161226851852 units, television used 3.484562094907409 units, fan used 0.0 units, fridge used 32.60933213252316 units, and laptop computer used 7.613156423611111 units. Environmental conditions were: temperature 14.329166666666667°C, dew point 12.354166666666666°C, relative humidity 88.25%, wind speed 15.15 km/h, and pressure 1026.6791666666666 hPa. Day: Monday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-08, the mains power consumption was 78.97820023148148 units, television used 0.0 units, fan used 0.0204916087962956 units, fridge used 33.573716956018544 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 14.4125°C, dew point 11.508333333333333°C, relative humidity 83.125%, wind speed 10.35 km/h, and pressure 1026.5541666666666 hPa. Day: Tuesday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-09, the mains power consumption was 64.63317245370372 units, television used 0.0 units, fan used 0.0 units, fridge used 31.53109884259256 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 13.979166666666666°C, dew point 10.529166666666669°C, relative humidity 81.04166666666667%, wind speed 13.45 km/h, and pressure 1024.3333333333333 hPa. Day: Wednesday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-10, the mains power consumption was 63.3636377314815 units, television used 0.0 units, fan used 0.0 units, fridge used 30.66329774305553 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 14.766666666666667°C, dew point 9.55°C, relative humidity 71.91666666666667%, wind speed 17.85 km/h, and pressure 1023.2166666666668 hPa. Day: Thursday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
